# Residuals     
# Time          	p               	Ux              	Uy              	k               	epsilon         
188             	1.15641183e-02	1.73761918e-03	1.31963437e-02	3.81007209e-03	2.36260975e-03
189             	1.12553715e-02	1.68416165e-03	1.25793275e-02	3.63815558e-03	2.29412551e-03
190             	1.07222605e-02	1.63132717e-03	1.19719155e-02	3.48045163e-03	2.22702397e-03
191             	1.02668229e-02	1.57766955e-03	1.13635529e-02	3.33655793e-03	2.16435887e-03
192             	9.90235732e-03	1.52400858e-03	1.07760908e-02	3.20617581e-03	2.10250464e-03
193             	9.41760311e-03	1.46903629e-03	1.02140361e-02	3.09141548e-03	2.04011886e-03
194             	8.94946424e-03	1.41155863e-03	9.69632032e-03	2.99220758e-03	1.97709555e-03
195             	8.76762122e-03	1.35251730e-03	9.18938869e-03	2.90523021e-03	1.91499726e-03
196             	9.07823689e-03	1.29287139e-03	8.78456201e-03	2.82501797e-03	1.84809164e-03
197             	8.77896486e-03	1.23371250e-03	8.39681832e-03	2.75290224e-03	1.77831905e-03
198             	7.97443653e-03	1.17306054e-03	7.96584813e-03	2.68513116e-03	1.71362139e-03
199             	8.01782964e-03	1.11312912e-03	7.67687950e-03	2.61454602e-03	1.64225858e-03
200             	7.71315812e-03	1.05663851e-03	7.43002294e-03	2.55056449e-03	1.57014480e-03
201             	7.13073848e-03	1.00282401e-03	7.17087643e-03	2.48061559e-03	1.50178065e-03
202             	7.20878936e-03	9.51101831e-04	7.03153019e-03	2.40472412e-03	1.43055809e-03
203             	6.77935083e-03	9.02144542e-04	6.82601181e-03	2.32471074e-03	1.36268826e-03
204             	6.36131875e-03	8.56541802e-04	6.63482980e-03	2.24071130e-03	1.29461982e-03
205             	6.31862568e-03	8.15179237e-04	6.50395011e-03	2.15628279e-03	1.22992009e-03
206             	5.80643119e-03	7.75720583e-04	6.23798042e-03	2.07222473e-03	1.17444281e-03
207             	5.83298115e-03	7.41174829e-04	6.06714475e-03	1.98647932e-03	1.11658934e-03
208             	5.54223033e-03	7.09941187e-04	5.89542035e-03	1.90199455e-03	1.06267049e-03
209             	5.28064405e-03	6.81364588e-04	5.67681655e-03	1.82027305e-03	1.01613801e-03
210             	5.04801107e-03	6.55482423e-04	5.45626030e-03	1.73990914e-03	9.73118134e-04
211             	4.67552514e-03	6.32439796e-04	5.23843701e-03	1.66292918e-03	9.34033889e-04
212             	4.49155071e-03	6.11951893e-04	5.04262410e-03	1.59007219e-03	9.00061622e-04
213             	4.35761096e-03	5.94376852e-04	4.85042584e-03	1.52020270e-03	8.68968923e-04
214             	4.11841192e-03	5.78354626e-04	4.65609325e-03	1.45309910e-03	8.39532006e-04
215             	3.93097723e-03	5.63784192e-04	4.45527908e-03	1.38939466e-03	8.14401056e-04
216             	3.94324740e-03	5.50825344e-04	4.26841863e-03	1.33054344e-03	7.96681677e-04
217             	4.03238733e-03	5.39062760e-04	4.09363182e-03	1.27346323e-03	7.75836685e-04
218             	3.67480691e-03	5.26951209e-04	3.93723208e-03	1.22112017e-03	7.57990903e-04
219             	3.66968027e-03	5.15154647e-04	3.77962552e-03	1.17303606e-03	7.46537643e-04
220             	3.66101918e-03	5.03035431e-04	3.64435551e-03	1.12732753e-03	7.32675271e-04
221             	3.34940603e-03	4.89896618e-04	3.49780398e-03	1.08591583e-03	7.20139430e-04
222             	3.41953602e-03	4.77248240e-04	3.35624784e-03	1.04915178e-03	7.14252539e-04
223             	3.46949701e-03	4.64606468e-04	3.21645361e-03	1.01408746e-03	7.03964101e-04
224             	3.21112876e-03	4.50650768e-04	3.09864770e-03	9.83268810e-04	6.92804250e-04
225             	3.21445191e-03	4.36835750e-04	2.99216978e-03	9.55904213e-04	6.83067807e-04
226             	3.44551130e-03	4.23563573e-04	2.93030368e-03	9.31021173e-04	6.71671212e-04
227             	3.31050420e-03	4.09478485e-04	2.84073785e-03	9.08187491e-04	6.59698196e-04
228             	3.34087177e-03	3.96129879e-04	2.73695651e-03	8.88194871e-04	6.48786986e-04
229             	2.98424256e-03	3.82450369e-04	2.64600149e-03	8.68214767e-04	6.34188336e-04
230             	2.94071619e-03	3.71178025e-04	2.54771561e-03	8.50554735e-04	6.19119797e-04
231             	2.95047769e-03	3.56808572e-04	2.49476921e-03	8.33174853e-04	6.08177694e-04
232             	3.40375185e-03	3.47629254e-04	2.46218728e-03	8.14702773e-04	5.91039659e-04
233             	3.33910445e-03	3.33717607e-04	2.43892230e-03	7.95457929e-04	5.73256924e-04
234             	3.54503233e-03	3.24037568e-04	2.43390835e-03	7.77089603e-04	5.59834379e-04
